date,product,category,quantity,price,region
2024-01-15,Laptop,Electronics,2,999.99,North
2024-01-15,Mouse,Accessories,5,24.99,South
2024-01-16,Keyboard,Accessories,3,79.99,East
2024-01-16,Monitor,Electronics,1,349.99,West
2024-01-17,USB Cable,Accessories,10,9.99,North
2024-01-17,Laptop,Electronics,1,999.99,South
2024-01-18,Headphones,Accessories,4,149.99,East
2024-01-18,Webcam,Electronics,2,89.99,West
2024-01-19,Mouse,Accessories,8,24.99,North
2024-01-19,Monitor,Electronics,3,349.99,South
2024-01-20,Keyboard,Accessories,2,79.99,East
2024-01-20,Laptop,Electronics,1,999.99,West
2024-01-21,USB Cable,Accessories,15,9.99,North
2024-01-21,Headphones,Accessories,3,149.99,South
2024-01-22,Webcam,Electronics,1,89.99,East
2024-01-22,Mouse,Accessories,6,24.99,West
2024-01-23,Monitor,Electronics,2,349.99,North
2024-01-23,Keyboard,Accessories,4,79.99,South
2024-01-24,Laptop,Electronics,3,999.99,East
2024-01-24,USB Cable,Accessories,12,9.99,West
2024-02-01,Mouse,Accessories,7,24.99,North
2024-02-01,Headphones,Accessories,2,149.99,South
2024-02-02,Webcam,Electronics,1,89.99,East
2024-02-02,Keyboard,Accessories,5,79.99,West
2024-02-03,Monitor,Electronics,2,349.99,North
2024-02-03,Laptop,Electronics,1,999.99,South
2024-02-04,USB Cable,Accessories,8,9.99,East
2024-02-04,Mouse,Accessories,4,24.99,West
2024-02-05,Headphones,Accessories,3,149.99,North
2024-02-05,Webcam,Electronics,2,89.99,South
2024-02-06,Keyboard,Accessories,6,79.99,East
2024-02-06,Monitor,Electronics,1,349.99,West
2024-02-07,Laptop,Electronics,2,999.99,North
2024-02-07,USB Cable,Accessories,10,9.99,South
2024-02-08,Mouse,Accessories,9,24.99,East
2024-02-08,Headphones,Accessories,1,149.99,West
